,wdpaid,en_name,column,value
83,61609,Bwindi Impenetrable National Park,biodiv_value,nan -> Data Deficient
84,61609,Bwindi Impenetrable National Park,biodiv_trend,nan -> Stable
85,902483,Vredefort Dome,overall_threat,High Threat -> Low Threat
86,902483,Vredefort Dome,potential_threat,High Threat -> Low Threat
87,198299,Puerto-Princesa Subterranean River National Park,potential_threat,High Threat -> Low Threat
88,902479,Coiba National Park and its Special Zone of Marine Protection,overall_threat,High Threat -> Very High Threat
89,902479,Coiba National Park and its Special Zone of Marine Protection,current_threat,High Threat -> Very High Threat
90,93291,Carlsbad Caverns National Park,biodiv_value,High Concern -> Low Concern
91,93291,Carlsbad Caverns National Park,biodiv_trend,Data Deficient -> Improving
92,93295,Waterton Glacier International Peace Park,biodiv_value,nan -> Low Concern
93,93295,Waterton Glacier International Peace Park,biodiv_trend,nan -> Improving
94,2005,Nahanni National Park,overall_threat,Low Threat -> High Threat
95,2005,Nahanni National Park,prot_mgmt,Effective -> Some Concern
96,9623,Historic Sanctuary of Machu Picchu,outlook,Significant Concern -> nan
97,9623,Historic Sanctuary of Machu Picchu,overall_threat,Very High Threat -> nan
98,9623,Historic Sanctuary of Machu Picchu,current_threat,Very High Threat -> nan
99,9623,Historic Sanctuary of Machu Picchu,potential_threat,Very High Threat -> nan
100,9623,Historic Sanctuary of Machu Picchu,prot_mgmt,Some Concern -> nan
101,9623,Historic Sanctuary of Machu Picchu,wh_value,High Concern -> nan
102,9623,Historic Sanctuary of Machu Picchu,wh_trend,Deteriorating -> nan
103,9623,Historic Sanctuary of Machu Picchu,biodiv_value,High Concern -> nan
104,9623,Historic Sanctuary of Machu Picchu,biodiv_trend,Deteriorating -> nan
105,2004,Dinosaur Provincial Park,potential_threat,Low Threat -> Very Low Threat
106,2004,Dinosaur Provincial Park,wh_value,Low Concern -> Good
107,2004,Dinosaur Provincial Park,biodiv_value,Low Concern -> Good
108,12896,Henderson Island,prot_mgmt,Effective -> Some Concern
109,2013,Yellowstone National Park,potential_threat,High Threat -> Low Threat
110,2013,Yellowstone National Park,biodiv_value,High Concern -> Good
111,2013,Yellowstone National Park,biodiv_trend,Data Deficient -> Improving
112,10902,Wood Buffalo National Park,outlook,Good with some concerns -> Significant Concern
113,10902,Wood Buffalo National Park,overall_threat,Low Threat -> High Threat
114,10902,Wood Buffalo National Park,potential_threat,Low Threat -> High Threat
115,10902,Wood Buffalo National Park,prot_mgmt,Effective -> Serious Concern
116,10902,Wood Buffalo National Park,wh_value,Low Concern -> High Concern
117,10902,Wood Buffalo National Park,wh_trend,Stable -> Deteriorating
118,198291,Península Valdés,outlook,Good with some concerns -> nan
119,198291,Península Valdés,overall_threat,Low Threat -> nan
120,198291,Península Valdés,current_threat,Low Threat -> nan
121,198291,Península Valdés,potential_threat,Low Threat -> nan
122,198291,Península Valdés,prot_mgmt,Some Concern -> nan
123,198291,Península Valdés,wh_value,Low Concern -> nan
124,198291,Península Valdés,wh_trend,Stable -> nan
125,198291,Península Valdés,biodiv_value,High Concern -> nan
126,198291,Península Valdés,biodiv_trend,Stable -> nan
127,5004,Aldabra Atoll,language,2 -> 1
